Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
dfkdpfkpoakdf;Técnicas de Negociações Avançadas;CELEBRAÇÃO DE PARCERIAS DO SETOR PÚBLICO COM ORGANISMOS INTERNACIONAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2215/?area=9
fddijfioajofijdsa;Impacto Regulatório;FUNDAMENTOS DA TEORIA DA REGULAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/974
dfifjia;Impacto Regulatório;ANÁLISE DE IMPACTO REGULATÓRIO: CONCEITOS FUNDAMENTAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/357
dfkkap;Redação Oficial;PORTUGUÊS - INTERPRETAÇÃO DE TEXTO E EMPREGO DE REGRAS GRAMATICAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/477
kokokapoakpd;Redação Oficial;REDAÇÃO OFICIAL E NOÇÕES DE SEI E SUAS APLICAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/563
kodksaosk;Redação Oficial;UX WRITING PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/813
dfkdpfkpoakdf;Gestão do Tempo;ESTRATÉGIAS DE PRODUTIVIDADE: CLAREZA, PROPÓSITO E PRIORIZAÇÃO DE TAREFAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/444
fddijfioajofijdsa;Gestão do Tempo;GESTÃO DO TEMPO E PRODUTIVIDADE;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/468
dfifjia;Gestão do Tempo;PLANEJAMENTO E ORGANIZAÇÃO PESSOAL NO TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/475
dfkkap;Gestão por resultados;GOVERNANÇA PÚBLICA PARA RESULTADOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;23 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2067/?area=8
kokokapoakpd;Gestão por resultados;PRATICANDO A ELABORAÇÃO DE INDICADORES DE DESEMPENHO INSTITUCIONAL;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2051/?area=9
kodksaosk;Gestão por resultados;ELABORAÇÃO DE INDICADORES DE DESEMPENHO INSTITUCIONAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/604/
dfkdpfkpoakdf;Marketing Digital;COMUNICAÇÃO E REDES SOCIAIS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;24 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1991/?area=3
fddijfioajofijdsa;Marketing Digital;USO DE MÍDIAS SOCIAIS NA COMUNICAÇÃO INSTITUCIONAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/445
dfifjia;Marketing Digital;ESTRATÉGIAS DE MARKETING DIGITAL PARA A ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/806
dfkkap;Marketing Digital;COMUNICAÇÃO PÚBLICA E COMUNICAÇÃO DE GOVERNO;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/488/
kokokapoakpd;Gestão por processos;ANÁLISE E MELHORIA DE PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/424/
